88262	1
88396	1
88498	1
88628	1
88638	1
88700	1
88742	1
88818	1
89065	1
89069	1
89182	1
89197	1
89253	1
89278	1
89314	1
89328	1
89375	1
89384	1
89425	1
89445	1
89462	1
89508	1
89536	1
89564	1
89576	2
89587	1
89623	1
89628	1
89653	1
89673	1
89681	1
89701	1
89702	1
89713	1
89736	1
89739	1
89745	1
89829	1
89851	1
89858	1
89883	1
89907	1
89911	1
89916	1
89939	1
89945	1
89958	1
89965	1
89975	1
89979	1
89981	1
89983	1
89990	1
89992	1
89993	1
89998	1
90013	1
90024	1
90061	1
90066	1
90073	1
90075	1
90076	1
90078	1
90079	1
90091	1
90095	1
90099	1
90108	1
90114	1
90128	1
90130	1
90135	1
90136	1
90142	1
90154	1
90155	1
90158	1
90172	1
90174	2
90191	1
90192	1
90194	1
90195	1
90196	1
90210	1
90218	1
90222	1
90234	1
90240	1
90242	1
90250	1
90254	1
90265	1
90273	1
90290	1
90294	1
90297	1
90302	1
90327	1
90331	1
90338	1
90351	1
90353	1
90364	1
90372	1
90373	1
90381	1
90387	2
90392	1
90401	1
90403	2
90410	1
90411	1
90418	1
90425	1
90430	1
90432	1
90438	1
90442	1
90444	1
90452	1
90460	1
90469	1
90473	1
90478	1
90488	1
90500	1
90504	1
90517	2
90518	1
90521	1
90526	1
90528	1
90529	1
90530	1
90533	1
90534	1
90538	1
90539	1
90543	1
90549	1
90550	1
90552	1
90559	2
90569	1
90575	1
90581	1
90583	1
90588	1
90590	1
90594	1
90596	1
90606	2
90612	1
90613	1
90614	2
90615	1
90624	1
90625	1
90635	1
90638	1
90642	2
90643	1
90644	1
90648	1
90654	3
90655	1
90658	1
90659	1
90667	1
90668	1
90670	1
90672	1
90673	1
90676	1
90680	1
90687	2
90689	1
90693	1
90694	1
90697	1
90698	1
90700	1
90701	1
90708	1
90716	1
90728	1
90729	1
90730	1
90732	1
90734	1
90735	2
90737	1
90740	2
90747	1
90749	1
90751	1
90760	1
90764	2
90767	1
90771	1
90774	1
90777	1
90783	1
90787	1
90791	2
90794	1
90802	1
90803	1
90804	1
90805	2
90808	2
90809	1
90813	1
90814	1
90818	2
90820	2
90825	2
90827	1
90837	1
90845	2
90849	1
90852	2
90854	1
90856	1
90857	1
90865	1
90866	2
90867	2
90873	1
90875	2
90881	3
90885	1
90886	1
90889	1
90892	1
90893	1
90903	1
90909	1
90910	1
90915	1
90924	1
90929	2
90931	1
90932	1
90934	1
90944	1
90947	1
90948	2
90950	1
90962	1
90964	2
90969	1
90971	1
90974	1
90975	1
90977	1
90981	1
90983	1
90987	1
90988	1
90993	2
90994	1
91005	1
91008	2
91011	1
91012	2
91015	2
91016	1
91018	1
91019	1
91020	2
91023	1
91028	1
91030	1
91031	1
91036	1
91037	2
91038	2
91039	1
91043	1
91044	1
91046	2
91050	1
91051	1
91055	1
91056	1
91059	1
91061	1
91065	1
91068	1
91074	2
91080	1
91083	1
91084	1
91089	1
91090	2
91091	1
91093	1
91094	1
91095	1
91098	2
91099	1
91100	1
91101	1
91103	2
91105	1
91106	2
91109	1
91114	2
91115	1
91117	1
91121	1
91129	1
91130	1
91132	1
91134	1
91136	1
91138	1
91140	2
91142	1
91144	1
91147	1
91149	2
91152	1
91153	1
91155	1
91156	1
91158	1
91159	2
91165	2
91166	1
91169	1
91171	1
91172	1
91173	2
91176	2
91178	3
91179	1
91180	1
91183	2
91185	1
91188	2
91189	1
91191	1
91193	2
91198	1
91201	1
91209	1
91212	1
91213	1
91216	2
91222	2
91224	1
91225	1
91226	1
91231	1
91232	1
91235	3
91240	1
91241	1
91245	2
91246	1
91248	2
91252	2
91253	3
91254	2
91256	1
91260	2
91263	2
91267	1
91268	1
91269	1
91271	1
91273	1
91274	1
91276	2
91277	1
91280	1
91281	2
91282	1
91283	3
91285	1
91286	1
91287	2
91288	1
91292	2
91293	1
91294	1
91296	2
91298	1
91300	3
91301	3
91302	1
91304	2
91305	2
91310	2
